date,Open,High,Low,Close,AdjClose,Volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,1172.0,1472.5799560546875,1170.510009765625,1450.8900146484375,1450.8900146484375,96371200,1450.8900146484375,1450.8900146484375,1450.8900146484375,1450.8900146484375
2018-02-28,1445.0,1528.699951171875,1265.9300537109375,1512.449951171875,1512.449951171875,137784000,1481.6699829101562,1481.6699829101562,1462.0827303799715,1456.752865745908
2018-03-31,1513.5999755859375,1617.5400390625,1365.199951171875,1447.3399658203125,1447.3399658203125,130400100,1470.2266438802083,1470.2266438802083,1459.4022277327608,1455.8563990863272
2018-04-30,1417.6199951171875,1638.0999755859375,1352.8800048828125,1566.1300048828125,1566.1300048828125,129919600,1494.2024841308594,1494.2024841308594,1478.8072781236792,1466.3586472574211
2018-05-31,1563.219970703125,1635.0,1546.02001953125,1629.6199951171875,1629.6199951171875,71615500,1521.285986328125,1521.285986328125,1506.2277721224987,1481.9073470535893
2018-06-30,1637.030029296875,1763.0999755859375,1635.0899658203125,1699.800048828125,1699.800048828125,85941300,1551.038330078125,1551.038330078125,1541.4227315235216,1502.6590329368785
2018-07-31,1682.699951171875,1880.050048828125,1678.06005859375,1777.43994140625,1777.43994140625,97521100,1583.3814174107142,1583.3814174107142,1584.3349515021994,1528.8286432672949
2018-08-31,1784.0,2025.5699462890625,1776.02001953125,2012.7099609375,2012.7099609375,96575800,1637.0474853515625,1637.0474853515625,1662.221316854072,1574.912578283505
2018-09-30,2026.5,2050.5,1865.0,2003.0,2003.0,94445500,1677.7088758680557,1677.7088758680557,1724.181077426059,1615.6828089231713
2018-10-31,2021.989990234375,2033.18994140625,1476.3599853515625,1598.010009765625,1598.010009765625,183220800,1669.7389892578126,1669.7389892578126,1701.2408833059799,1613.999685193881
2018-11-30,1623.530029296875,1784.0,1420.0,1690.1700439453125,1690.1700439453125,139290000,1693.6669921875,1671.596357865767,1699.2280034222222,1621.2540050749697
2018-12-31,1769.4599609375,1778.3399658203125,1307.0,1501.969970703125,1501.969970703125,154812700,1692.618994140625,1657.4608256022136,1663.3629065642044,1609.8936208490795
2019-01-31,1465.199951171875,1736.4100341796875,1460.9300537109375,1718.72998046875,1718.72998046875,134001700,1719.7579956054688,1662.173837515024,1673.4296472741216,1620.2589884319052
2019-02-28,1638.8800048828125,1673.06005859375,1566.760009765625,1639.8299560546875,1639.8299560546875,80936900,1727.1279907226562,1660.577845982143,1667.3206125069516,1622.1228901102654
2019-03-31,1655.1300048828125,1823.75,1586.5699462890625,1780.75,1780.75,100832200,1742.2409912109374,1668.5893229166666,1687.9441375056876,1637.2302339092878
2019-04-30,1800.1099853515625,1956.3399658203125,1798.72998046875,1926.52001953125,1926.52001953125,81293700,1764.91298828125,1684.7099914550781,1731.3215706012443,1664.7816420637603
2019-05-31,1933.0899658203125,1964.4000244140625,1772.699951171875,1775.0699462890625,1775.0699462890625,98214400,1764.6759887695312,1690.0252829159008,1739.275820726302,1675.2852900852176
2019-06-30,1760.010009765625,1935.199951171875,1672.0,1893.6300048828125,1893.6300048828125,74742700,1752.7679931640625,1701.3366563585068,1767.3402178456674,1696.0800248278458
2019-07-31,1922.97998046875,2035.800048828125,1849.43994140625,1866.780029296875,1866.780029296875,73177400,1739.14599609375,1710.0442023026317,1785.4201835640688,1712.3371681106105
2019-08-31,1871.719970703125,1897.9200439453125,1743.510009765625,1776.2900390625,1776.2900390625,79771200,1756.9739990234375,1713.356494140625,1783.7601572910562,1718.4279177250762
2019-09-30,1770.0,1853.6600341796875,1709.219970703125,1735.9100341796875,1735.9100341796875,61172900,1761.547998046875,1727.6074951171875,1775.0601349071708,1720.0928811969438
2019-10-31,1746.0,1798.8499755859375,1685.06005859375,1776.6600341796875,1776.6600341796875,70360500,1789.0170043945313,1740.8179992675782,1775.3510256839918,1725.4802291000624
2019-11-30,1788.010009765625,1824.68994140625,1722.7099609375,1800.800048828125,1800.800048828125,52076200,1797.2240112304687,1758.4910034179688,1779.9781208011068,1732.65354526464
2019-12-31,1804.4000244140625,1901.4000244140625,1735.0,1847.8399658203125,1847.8399658203125,68149600,1818.0250122070313,1772.5765014648437,1792.316638077326,1743.6236805556564
