date,Open,High,Low,Close,AdjClose,Volume,SMA_10,SMA_20,EMA_10,EMA_20
2018-01-31,170.16000366210938,180.10000610351562,164.6999969482422,167.42999267578125,161.68931579589844,659679400,167.42999267578125,167.42999267578125,167.42999267578125,167.42999267578125
2018-02-28,167.1699981689453,180.6199951171875,150.24000549316406,178.1199951171875,172.714111328125,927894300,172.77499389648438,172.77499389648438,169.37362948330963,168.44808814639137
2018-03-31,178.5399932861328,183.5,164.94000244140625,167.77999877929688,162.68792724609375,713727700,171.10999552408853,171.10999552408853,169.0838784462164,168.38446058762045
2018-04-30,166.63999938964844,178.94000244140625,160.6300048828125,165.25999450683594,160.24440002441406,666154300,169.6474952697754,169.6474952697754,168.3886268208745,168.0868923894505
2018-05-31,166.41000366210938,190.3699951171875,165.27000427246094,186.8699951171875,181.89724731445312,620976300,173.0919952392578,173.0919952392578,171.74887560202228,169.87575931590166
2018-06-30,187.9900054931641,194.1999969482422,180.72999572753903,185.1100006103516,180.18408203125,527624500,175.0949961344401,175.0949961344401,174.17817105808214,171.3266394391826
2018-07-31,183.82000732421875,195.9600067138672,183.4199981689453,190.2899932861328,185.2262420654297,393691400,177.26571001325334,177.26571001325334,177.10759328136407,173.13267313889216
2018-08-31,199.1300048828125,228.8699951171875,197.30999755859372,227.6300048828125,222.3496856689453,700318900,183.56124687194824,183.56124687194824,186.29348629980922,178.32289520974172
2018-09-30,228.41000366210932,229.6699981689453,215.3000030517578,225.7400054931641,220.5035400390625,678972000,188.24777560763889,188.24777560763889,193.465580698601,182.83881047482956
2018-10-31,227.9499969482422,233.47000122070312,206.08999633789065,218.8600006103516,213.78314208984372,789748500,191.30899810791016,191.30899810791016,198.0827479552829,186.26940001154594
2018-11-30,219.0500030517578,222.3600006103516,170.25999450683594,178.5800018310547,175.04615783691406,961326400,192.4239990234375,190.15181662819603,194.53679411451412,185.5370763753087
2018-12-31,184.4600067138672,184.94000244140625,146.58999633789062,157.74000549316406,154.61854553222656,898922500,190.38600006103516,187.45083236694336,187.84646891063227,182.88973629129492
2019-01-31,154.88999938964844,169.0,142.0,166.44000244140625,163.1463623046875,828087400,190.2520004272461,185.8346146803636,183.9543840980457,181.3230949722579
2019-02-28,166.9600067138672,175.8699951171875,165.92999267578125,173.14999389648438,170.45150756835938,472540600,191.04100036621094,184.92857033865792,181.9899495159436,180.54470439361282
2019-03-31,174.27999877929688,197.69000244140625,169.5,189.9499969482422,186.98968505859372,650981400,191.3490005493164,185.2633321126302,183.4372308672706,181.44044654167277
2019-04-30,191.63999938964844,208.47999572753903,188.3800048828125,200.6699981689453,197.5426177978516,506117700,192.90500030517578,186.2262487411499,186.5704612857569,183.2718324109368
2019-05-31,209.8800048828125,215.30999755859372,174.99000549316406,175.07000732421875,173.00527954101562,739456600,191.38300170898438,185.5699992460363,184.4794696563863,182.49070621220176
2019-06-30,175.60000610351562,201.57000732421875,170.27000427246094,197.9199981689453,195.5857696533203,515187300,188.41200103759766,186.25611029730902,186.9232021132152,183.96016258903447
2019-07-31,203.1699981689453,221.3699951171875,198.41000366210932,213.0399932861328,210.5274658203125,473957000,187.14199981689453,187.6657883493524,191.6717095992002,186.7296702744724
2019-08-31,213.8999938964844,218.02999877929688,192.5800018310547,208.7400054931641,207.0619201660156,681074600,186.13000030517577,188.71949920654296,194.77503612537544,188.82589267625255
2019-09-30,206.42999267578125,226.4199981689453,204.22000122070312,223.97000122070312,222.1694793701172,542567100,190.66900024414062,191.54649963378907,200.08321159725318,192.1729506328669
2019-10-31,225.07000732421875,249.75,215.1300048828125,248.7599945068359,246.76019287109372,608302700,199.7709991455078,195.0784996032715,208.93353576263186,197.56219290657825
2019-11-30,249.5399932861328,268.0,249.16000366210932,267.25,265.8974609375,448331500,209.85199890136718,200.05199966430663,219.53652926033516,204.19912691547557
2019-12-31,267.2699890136719,293.9700012207031,256.2900085449219,293.6499938964844,292.163818359375,597198700,221.9019989013672,206.47149963378905,233.0117046487259,212.71825710414308
